Vanilla True Values,Vanilla Predictions,date_time,room_number,Seasons True Values,Seasons Predictions,Weather True Values,Weather Predictions,Combined True Values,Combined Predictions,Etage
23.0425,23.31406,2023-06-02 08:00:00,e001,23.0425,23.251547,23.0425,22.902973,23.0425,23.251062,Etage 0
23.0525,23.339249,2023-06-02 09:00:00,e001,23.0525,23.267176,23.0525,22.914236,23.0525,23.274218,Etage 0
23.05,23.379269,2023-06-02 10:00:00,e001,23.05,23.306309,23.05,22.942938,23.05,23.299084,Etage 0
23.084,23.393082,2023-06-02 11:00:00,e001,23.084,23.326906,23.084,22.968636,23.084,23.275751,Etage 0
23.134,23.447163,2023-06-02 12:00:00,e001,23.134,23.396648,23.134,23.02244,23.134,23.330856,Etage 0
23.175,23.496845,2023-06-02 13:00:00,e001,23.175,23.454765,23.175,23.078653,23.175,23.362047,Etage 0
23.225,23.532015,2023-06-02 14:00:00,e001,23.225,23.483469,23.225,23.108597,23.225,23.377806,Etage 0
23.28,23.580933,2023-06-02 15:00:00,e001,23.28,23.52369,23.28,23.141342,23.28,23.431652,Etage 0
23.328333,23.621761,2023-06-02 16:00:00,e001,23.328333,23.558163,23.328333,23.14748,23.328333,23.478949,Etage 0
23.368334,23.637642,2023-06-02 17:00:00,e001,23.368334,23.578135,23.368334,23.150633,23.368334,23.511185,Etage 0
23.38,23.641613,2023-06-02 18:00:00,e001,23.38,23.592915,23.38,23.165707,23.38,23.544346,Etage 0
23.376,23.613604,2023-06-02 19:00:00,e001,23.376,23.569132,23.376,23.171818,23.376,23.574957,Etage 0
23.354,23.572493,2023-06-02 20:00:00,e001,23.354,23.546312,23.354,23.121586,23.354,23.559032,Etage 0
23.315714,23.5112,2023-06-02 21:00:00,e001,23.315714,23.502363,23.315714,23.0546,23.315714,23.470821,Etage 0
23.245,23.449291,2023-06-02 22:00:00,e001,23.245,23.44526,23.245,23.02475,23.245,23.398983,Etage 0
23.1925,23.36687,2023-06-02 23:00:00,e001,23.1925,23.341547,23.1925,22.97037,23.1925,23.288698,Etage 0
23.1425,23.354307,2023-06-03 00:00:00,e001,23.1425,23.319153,23.1425,22.953339,23.1425,23.24292,Etage 0
23.128,23.326717,2023-06-03 01:00:00,e001,23.128,23.249924,23.128,22.894005,23.128,23.178627,Etage 0
23.098,23.33244,2023-06-03 02:00:00,e001,23.098,23.279257,23.098,22.885965,23.098,23.17421,Etage 0
23.06,23.296162,2023-06-03 03:00:00,e001,23.06,23.239021,23.06,22.85378,23.06,23.150013,Etage 0
23.006,23.262001,2023-06-03 04:00:00,e001,23.006,23.219887,23.006,22.820442,23.006,23.130465,Etage 0
22.984,23.214848,2023-06-03 05:00:00,e001,22.984,23.177984,22.984,22.734867,22.984,23.070251,Etage 0
22.952,23.220314,2023-06-03 06:00:00,e001,22.952,23.200932,22.952,22.784521,22.952,23.08271,Etage 0
22.9475,23.19724,2023-06-03 07:00:00,e001,22.9475,23.160986,22.9475,22.814848,22.9475,23.087105,Etage 0
22.981667,23.22355,2023-06-03 08:00:00,e001,22.981667,23.180864,22.981667,22.83647,22.981667,23.135166,Etage 0
23.021667,23.284147,2023-06-03 09:00:00,e001,23.021667,23.219095,23.021667,22.866653,23.021667,23.226456,Etage 0
23.042,23.34394,2023-06-03 10:00:00,e001,23.042,23.259438,23.042,22.917309,23.042,23.298788,Etage 0
23.086,23.38322,2023-06-03 11:00:00,e001,23.086,23.296785,23.086,22.9529,23.086,23.309563,Etage 0
23.142,23.452227,2023-06-03 12:00:00,e001,23.142,23.379873,23.142,22.99951,23.142,23.344734,Etage 0
23.196,23.5138,2023-06-03 13:00:00,e001,23.196,23.448254,23.196,23.05117,23.196,23.418974,Etage 0
23.25,23.56332,2023-06-03 14:00:00,e001,23.25,23.489445,23.25,23.096586,23.25,23.466042,Etage 0
23.314,23.611,2023-06-03 15:00:00,e001,23.314,23.514854,23.314,23.129799,23.314,23.494133,Etage 0
23.358,23.662361,2023-06-03 16:00:00,e001,23.358,23.552265,23.358,23.148766,23.358,23.554794,Etage 0
23.375,23.67828,2023-06-03 17:00:00,e001,23.375,23.55901,23.375,23.15797,23.375,23.579548,Etage 0
23.401428,23.658894,2023-06-03 18:00:00,e001,23.401428,23.546995,23.401428,23.153341,23.401428,23.578741,Etage 0
